cpu_name,amazon_link
Intel Core i9 13900K,https://amzn.to/3XXSJUs
Intel Core i7 13700K,https://amzn.to/3Nqj8W0
Intel Core i7 13700KF,https://amzn.to/4dKt47B
Intel Core i5 13600K,https://amzn.to/3zNSEL9
Intel Core i5 13600KF,https://amzn.to/3U9JE9Z
Intel Core i5 13500,https://amzn.to/3ZZ4o88
Intel Core i5 12400,https://amzn.to/489bxVe
Intel Core i5 12400F,https://amzn.to/4dRRFap
Intel Core i9 12900K,https://amzn.to/4dU7gXm
Intel Core i9 12900KF,https://amzn.to/4dU7iOY
Intel Core i7 12700K,https://amzn.to/4dRBtpM
Intel Core i7 12700KF,https://amzn.to/3Yd7z9U
Intel Core i5 12600K,https://amzn.to/4h4MA1q
Intel Core i5 12600KF,https://amzn.to/3NnIAvx
Intel Core i5 12500,https://amzn.to/4dOC4sa
Intel Core i3 12100F,https://amzn.to/3NrihEM
Intel Core i3 12100,https://amzn.to/4h6z0uA
Intel Core i7 10700K,https://amzn.to/4dKLe9o
Intel Core i5 10600K,https://amzn.to/3Y8x4sE
Intel Core i5 10400,https://amzn.to/3U87vGY
Intel Core i3 10100,https://amzn.to/485mbMS
AMD Ryzen 9 7950X,https://amzn.to/4058fjT
AMD Ryzen 9 7900X,https://amzn.to/3YnXNTu
AMD Ryzen 9 7950X3D,https://amzn.to/485nX0C
AMD Ryzen 9 7900X3D,https://amzn.to/3AavSwS
AMD Ryzen 7 7800X3D,https://amzn.to/4dRSU9z
AMD Ryzen 7 7700X,https://amzn.to/4058trf
AMD Ryzen 7 7700,https://amzn.to/406ufLk
AMD Ryzen 7 5800X3D,https://amzn.to/3YpdppC
AMD Ryzen 7 5800X,https://amzn.to/3Y4rqb8
AMD Ryzen 5 7600X,https://amzn.to/403faKo
AMD Ryzen 5 7600,https://amzn.to/4f2XtPt
AMD Ryzen 5 5600X,https://amzn.to/3Y4yBjp
AMD Ryzen 5 5600,https://amzn.to/3XY2diw
AMD Ryzen 5 5500,https://amzn.to/3U7ps8C
AMD Ryzen 5 3600,https://amzn.to/4856HIC
AMD Ryzen 9 5900X,https://amzn.to/3NoEyTl
AMD Ryzen 7 3800X,https://amzn.to/3NrBE0q
AMD Ryzen 7 3700X,https://amzn.to/487uWWM
AMD Ryzen 3 3100,https://amzn.to/3BKXcSW
