cpu_name,num_sockets,cores,price,cpu_mark,cpu_value,thread_mark,thread_value,tdp,power_perf,test_date,socket,category
AArch64,1,4,,833,,368,,,,Mar 2024,Unknown,Mobile/Embedded
AArch64 rev 2 (aarch64),1,8,,"2,383",,901,,,,Feb 2021,Unknown,Mobile/Embedded
AArch64 rev 4 (aarch64),1,8,,"1,813",,588,,,,Jan 2021,Unknown,Mobile/Embedded
AC8257V/WAB,1,8,,788,,485,,,,Jan 2021,Unknown,Unknown
AC8259V/WAB,1,8,,990,,512,,,,Mar 2024,Unknown,Mobile/Embedded
Allwinner A133,1,4,,673,,411,,,,May 2023,Unknown,Mobile/Embedded
Allwinner A523,1,8,,"1,902",,589,,,,Aug 2023,Unknown,Mobile/Embedded
Allwinner A527,1,8,,"2,297",,678,,,,Jul 2023,Unknown,Mobile/Embedded
Allwinner H618,1,4,,617,,395,,,,Jun 2023,Unknown,Mobile/Embedded
AMD 3015Ce,1,2,,"2,099",,"1,337",,6,349.82,Jul 2021,FT5,Mobile/Embedded
AMD 3015e,1,2,,"2,712",,"1,339",,6,451.94,Jul 2020,Unknown,Laptop
AMD 3020e,1,2,,"2,438",,"1,411",,6,406.38,Jun 2020,Unknown,Laptop
AMD 4700S,1,8,,"17,851",,"2,359",,,,Apr 2021,Unknown,Desktop
AMD A10 Micro-6700T APU,1,4,,"1,426",,722,,5,285.29,May 2015,FT3b,Laptop
AMD A10 PRO-7350B APU,1,4,,"1,915",,917,,19,100.77,Jun 2014,FP3,Laptop
AMD A10 PRO-7800B APU,1,2,,"3,319",,"1,493",,65,51.05,Oct 2014,FM2+,Desktop
AMD A10 PRO-7850B APU,1,2,148.02,"3,453",23.33,"1,572",10.62,95,36.34,Nov 2014,FM2+,Desktop
AMD A10-4600M APU,1,2,72.02,"1,938",26.91,"1,080",14.99,35,55.37,Apr 2012,FS1r2,Laptop
AMD A10-4655M APU,1,2,,"1,658",,909,,25,66.31,Jul 2012,FP2,Laptop
AMD A10-4657M APU,1,4,,"1,759",,940,,35,50.27,May 2013,FP2,Laptop
AMD A10-5700 APU,1,2,68.02,"2,741",40.29,"1,430",21.02,65,42.17,Jun 2012,FM2,Desktop
AMD A10-5745M APU,1,4,,"1,779",,951,,25,71.16,Jul 2013,FP2,Laptop
AMD A10-5750M APU,1,4,78.02,"2,044",26.20,"1,161",14.88,35,58.40,May 2013,FS1r2,Laptop
AMD A10-5757M APU,1,4,,"1,998",,"1,151",,35,57.09,Jul 2013,FP2,Laptop
AMD A10-5800B APU,1,2,44.99,"3,034",67.43,"1,579",35.10,100,30.34,Jul 2013,FM2,Desktop
AMD A10-5800K APU,1,2,20.86,"2,960",141.91,"1,493",71.59,100,29.60,Oct 2012,FM2,Desktop
AMD A10-6700 APU,1,4,108.02,"3,104",28.73,"1,604",14.85,65,47.75,Jun 2013,FM2,Desktop
AMD A10-6700T APU,1,2,88.02,"2,299",26.12,"1,290",14.66,45,51.08,Jun 2014,FM2,Desktop
AMD A10-6790K APU,1,2,42.00,"3,071",73.12,"1,551",36.93,100,30.71,Dec 2013,FM2,Desktop
AMD A10-6800B APU,1,2,128.02,"3,106",24.26,"1,654",12.92,100,31.06,Feb 2014,FM2,Desktop
AMD A10-6800K APU,1,2,47.28,"3,189",67.45,"1,596",33.76,100,31.89,Jun 2013,FM2,Desktop
AMD A10-7300 APU,1,4,,"1,742",,863,,19,91.68,Jul 2014,FP3,Laptop
AMD A10-7400P,1,4,,"2,078",,"1,033",,35,59.36,Dec 2014,FP3,Laptop
AMD A10-7700K APU,1,2,128.02,"3,203",25.02,"1,435",11.21,95,33.72,Jan 2014,FM2+,Desktop
AMD A10-7800 APU,1,2,29.99,"3,210",107.03,"1,462",48.77,65,49.38,Jun 2014,FM2+,Desktop
AMD A10-7850K APU,1,2,69.99,"3,393",48.48,"1,497",21.38,95,35.72,Jan 2014,FM2+,Desktop
AMD A10-7860K,1,2,53.19,"3,283",61.73,"1,498",28.16,65,50.51,Mar 2016,FM2+,Desktop
AMD A10-7870K,1,2,517.20,"3,442",6.65,"1,506",2.91,95,36.23,Jun 2015,FM2+,Desktop
AMD A10-7890K,1,2,136.17,"3,525",25.88,"1,573",11.55,95,37.10,Apr 2016,FM2+,Desktop
AMD A10-8700P,1,2,,"2,245",,"1,146",,35,64.14,Jul 2015,FP4,Laptop
AMD A10-8750,1,2,,"3,228",,"1,516",,65,49.67,Sep 2015,FM2+,Desktop
AMD A10-8850,1,2,,"3,438",,"1,608",,,,May 2016,Unknown,Desktop
AMD A10-9600P,1,4,,"2,339",,"1,148",,15,155.92,Jun 2016,FP4,Laptop
AMD A10-9620P,1,4,,"2,540",,"1,269",,15,169.35,Aug 2017,Unknown,Laptop
AMD A10-9630P,1,4,,"2,909",,"1,397",,35,83.12,Aug 2016,FP4,Laptop
AMD A10-9700,1,4,29.99,"3,546",118.24,"1,615",53.86,65,54.56,Dec 2016,AM4,Desktop
AMD A10-9700E,1,4,89.09,"3,229",36.25,"1,501",16.85,35,92.27,Nov 2017,AM4,Desktop
AMD A12-9700P,1,4,,"2,437",,"1,214",,15,162.49,Aug 2016,FP4,Laptop
AMD A12-9720P,1,4,,"2,661",,"1,317",,15,177.38,Jul 2017,FP4,Laptop
AMD A12-9730P,1,4,,"2,980",,"1,386",,35,85.14,Jul 2017,FP4,Laptop
AMD A12-9800,1,2,95.00,"3,597",37.86,"1,668",17.56,65,55.34,Oct 2016,AM4,Desktop
AMD A12-9800E,1,4,670.15,"3,471",5.18,"1,617",2.41,35,99.18,Sep 2017,AM4,Desktop
AMD A4 Micro-6400T APU,1,4,,"1,082",,540,,4.5,240.51,Nov 2014,FT3b,Laptop
AMD A4 PRO-3340B,1,4,,"1,645",,676,,25,65.79,Nov 2015,BGA769 (FT3),Laptop
AMD A4 PRO-7300B APU,1,1,,"1,458",,"1,445",,65,22.43,Dec 2014,Unknown,Desktop
AMD A4 PRO-7350B,1,1,,"1,544",,"1,438",,65,23.75,Dec 2014,FM2+,Desktop
AMD A4-1200 APU,1,2,,369,,303,,3.9,94.69,Oct 2013,FT3,Laptop
AMD A4-1250 APU,1,2,,406,,329,,8,50.78,Jul 2013,FT3,Laptop
AMD A4-1350 APU,1,4,,911,,345,,8,113.91,Apr 2024,FT3,Laptop
AMD A4-3300 APU,1,2,56.61,942,16.65,973,17.18,65,14.50,Nov 2011,FM1,Desktop
AMD A4-3300M APU,1,2,29.99,714,23.81,790,26.33,65,10.99,Jul 2011,FM1,Laptop
AMD A4-3305M APU,1,2,20.81,758,36.44,837,40.23,35,21.67,Feb 2012,FS1,Laptop
AMD A4-3310MX APU,1,2,,782,,832,,45,17.38,Oct 2011,FS1,Laptop
AMD A4-3320M APU,1,2,39.00,668,17.12,708,18.16,35,19.07,Mar 2012,FS1,Laptop
AMD A4-3330MX APU,1,2,,756,,908,,45,16.80,Mar 2013,FS1 uPGA,Laptop
