videocard_name,price,g3d_mark,videocard_value,g2d_mark,tdp,power_perf,vram,test_date,category
256MB DDR Radeon 9800 XT,,38,,192,,,,Apr 2009,Unknown
7900 MOD - Radeon HD 6520G,,610,,323,,,,Dec 2012,Unknown
7900 MOD - Radeon HD 6550D,,893,,536,,,,Jan 2013,Unknown
A10-8Q,,"7,042",,253,,,,Feb 2023,Unknown
A16,,"5,236",,416,,,,Apr 2022,Unknown
A16-2B,,"3,141",,78,,,,May 2024,Desktop
A16-2Q,,"4,583",,89,,,,Nov 2023,Unknown
A16-4Q,,"4,166",,90,,,,May 2024,Desktop
A40-24Q,,"2,616",,53,,,,Feb 2023,Unknown
A40-48Q,,"17,864",,522,,,,Feb 2023,Unknown
A40-6Q,,787,,20,,,,May 2023,Unknown
A6 Micro-6500T Quad-Core APU with RadeonR4,,220,,127,,,,Jan 2016,Unknown
ABIT Siluro T400,,4,,151,,,,Nov 2015,Unknown
ALL-IN-WONDER 9000,,5,,103,,,,Dec 2009,Unknown
ALL-IN-WONDER 9800,,23,,139,,,,Aug 2011,Unknown
ALL-IN-WONDER RADEON 8500DV,,6,,128,,,,Dec 2010,Unknown
All-in-Wonder X1800XL,,30,,283,,,,Oct 2011,Unknown
All-in-Wonder X1900,,127,,445,,,,Oct 2009,Unknown
ALL-IN-WONDER X800 GT,,84,,186,,,,Oct 2009,Unknown
AMD Ryzen Z1 Extreme,,"7,051",,770,,,,Jun 2023,Unknown
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,,3,,110,,,,Dec 2019,Unknown
ASUS A7000,,9,,164,,,,Jan 2010,Unknown
ASUS AGP-V3800PRO v31.40H,,5,,149,,,,Jun 2013,Unknown
ASUS EAH4870x2,,496,,539,,,,Apr 2009,Unknown
Asus GTX 650 FML II EC-EGPU,,721,,534,,,,Dec 2016,Unknown
ASUS V9520-X V62.11,,8,,208,,,,Jan 2011,Unknown
B8DKMDAP,,"4,557",,534,,,,May 2018,Unknown
Barco MXRT 1450,,206,,520,,,,Oct 2013,Unknown
Barco MXRT 2600,199.00,900,4.52,649,,,,Jan 2018,Unknown
Barco MXRT 5400,203.00,"1,161",5.72,457,,,,Dec 2016,Unknown
Barco MXRT 5450,199.99,"1,079",5.40,478,,,,May 2013,Unknown
Barco MXRT 5500,299.00,"2,702",9.04,510,,,,Jun 2018,Unknown
Barco MXRT 5600,704.00,"2,466",3.50,644,,,,Nov 2019,Unknown
Barco MXRT 7100,,180,,659,,,,Aug 2013,Unknown
Barco MXRT 7400,99.00,901,9.10,682,,,,Apr 2013,Unknown
Barco MXRT 7500,299.00,"3,753",12.55,731,,,,Nov 2015,Unknown
Barco MXRT 7600,602.59,"4,944",8.20,442,,,,Nov 2018,Unknown
BASICDISPLAY,,70,,691,,,,Feb 2015,Unknown
CARRIZO 9874,,247,,69,,,,Nov 2020,Unknown
Citrix Indirect Display Adapter,,"2,366",,367,,,,Aug 2018,Unknown
CMP 30HX,,"8,136",,260,,,,Jan 2024,Unknown
CMP 40HX,,"6,778",,318,,,,Aug 2023,Unknown
CONNECT 3D RADEON X300,,36,,191,,,,Apr 2009,Unknown
Custom GPU 0405,,"2,832",,364,,,,Apr 2022,Unknown
Custom GPU 0932,,"3,396",,391,,,,Aug 2024,Desktop
Dell 8100,999.11,2,0.00,58,,,,Feb 2012,Unknown
Dell 8200,,4,,205,,,,Dec 2009,Unknown
Diamond X1300-PCIE 256MB,,70,,286,,,,Feb 2013,Unknown
EAH5450,109.99,134,1.22,216,,,,Apr 2017,Unknown
EG PARK,,141,,7,,,,Mar 2021,Unknown
EIZO MED-X5000,,"3,038",,405,,,,Jan 2022,Unknown
EIZO MED-XN43,,"3,843",,767,,,,May 2024,Desktop
EIZO Quadro MED-XN51LP,,"5,048",,952,,,,Oct 2018,Unknown
Embedded Radeon E9173,,"1,788",,344,,,,Jan 2018,Unknown
Eng Sample: 100-000000261-50_Y,,"2,860",,865,,,,Mar 2022,Unknown
Eng Sample: 100-000000371-40_42/18_Y,,"1,965",,596,,,,Jul 2023,Unknown
Eng Sample: 100-000000534-40_Y,,"3,237",,732,,,,Aug 2022,Unknown
Eng Sample: 100-000000545-40_Y,,"3,692",,831,,,,Mar 2022,Unknown
Extreme AX850 PRO,,120,,218,,,,Jul 2018,Unknown
FireGL T2-128,,31,,178,,,128,Sep 2009,Workstation
FireGL V3100,,53,,275,,,128,May 2009,Workstation
FireGL V3200,,85,,236,,,128,Aug 2009,Workstation
FireGL V3300,,71,,326,,,128,Apr 2009,Workstation
FireGL V3350,,69,,336,,,256,Jul 2009,Workstation
FireGL V3400,,103,,353,,,128,Sep 2009,Workstation
FireGL V3600,160.99,180,1.12,399,,,256,Oct 2009,Workstation
FireGL V5100,114.96,93,0.81,250,,,128,Sep 2009,Workstation
FireGL V5200,133.40,115,0.86,348,,,256,Sep 2009,Workstation
FireGL V5600,225.00,341,1.52,445,,,512,Oct 2009,Workstation
FireGL V7100,328.67,72,0.22,223,,,256,May 2009,Workstation
FireGL V7200,,116,,348,,,256,Feb 2010,Workstation
FireGL V7300,1189.99,128,0.11,322,,,512,Sep 2009,Workstation
FireGL V7350,119.42,111,0.93,344,,,1024,Sep 2011,Workstation
FireGL V7600,,616,,488,,,512,Sep 2009,Workstation
FireGL V7700,69.99,660,9.43,422,,,512,Mar 2011,Workstation
FireGL V8600,,839,,406,,,1024,Apr 2010,Workstation
FireGL V8650,298.99,550,1.84,637,,,2048,Mar 2010,Workstation
FireGL X1,,59,,167,,,,Apr 2009,Unknown
FireMV 2200 PCI,,1,,153,,,64,Jul 2010,Workstation
FireMV 2200 PCIe,89.99,36,0.40,259,,,128,Mar 2011,Workstation
FireMV 2250,104.00,46,0.44,290,,,,Aug 2009,Unknown
FireMV 2260,88.08,117,1.33,488,15,7.82,256,Aug 2011,Workstation
FireMV 2400 PCIe,,11,,283,,,256,Jan 2011,Workstation
FireMV 2450,,74,,610,,,,Feb 2011,Unknown
FirePro 2260,,113,,431,,,,Mar 2010,Unknown
FirePro 2270,134.00,142,1.06,173,17,8.37,1024,Aug 2012,Workstation
FirePro 2450,89.99,51,0.57,482,36,1.42,512,Jan 2010,Workstation
FirePro 2460,83.99,170,2.03,352,17,10.02,512,Aug 2012,Workstation
FirePro 3D V3700,84.99,179,2.10,466,32,5.58,256,Oct 2011,Workstation
FirePro 3D V3750,50.88,341,6.71,467,48,7.11,256,Sep 2009,Workstation
FirePro 3D V3800,149.99,472,3.15,507,43,10.98,512,Jul 2010,Workstation
FirePro 3D V4800,159.99,854,5.33,324,69,12.37,1024,Aug 2010,Workstation
FirePro 3D V5700,319.99,547,1.71,517,58,9.43,512,Sep 2009,Workstation
FirePro 3D V5800,204.00,"1,232",6.04,339,74,16.65,1024,Oct 2010,Workstation
FirePro 3D V7750,350.00,545,1.56,468,76,7.17,1024,Sep 2009,Workstation
FirePro 3D V7800,599.99,"1,867",3.11,562,138,13.53,2048,Aug 2010,Workstation
FirePro 3D V8700,170.07,"1,206",7.09,515,151,7.99,1024,Nov 2010,Workstation
FirePro 3D V8750,1230.99,"1,272",1.03,542,154,8.26,2048,Aug 2009,Workstation
FirePro 3D V8800,424.99,"2,438",5.74,632,208,11.72,2048,Aug 2010,Workstation
FirePro 3D V9800,2499.00,"2,812",1.13,556,225,12.50,4096,May 2011,Workstation
FirePro M2000,,425,,206,,,1024,Nov 2012,Workstation
FirePro M4000,72.83,"1,593",21.88,410,,,2048,Aug 2012,Workstation
FirePro M4000 Mobility Pro,,"1,628",,448,,,,Nov 2015,Unknown
FirePro M40003,,"1,364",,652,,,,Oct 2012,Unknown
Firepro M4100,,"1,059",,623,,,2048,Feb 2015,Workstation
FirePro M4150,,949,,173,,,,Jun 2015,Unknown
FirePro M4170,,"1,156",,244,,,,Feb 2015,Unknown
FirePro M5100,,"2,103",,800,,,2048,Feb 2014,Workstation
FirePro M5100 FireGL V,,"1,839",,867,,,,Feb 2015,Unknown
FirePro M5950,,"1,314",,574,,,1024,Jun 2011,Workstation
FirePro M6000,325.99,"1,820",5.58,776,,,2048,Oct 2012,Workstation
FirePro M6000 Mobility Pro,,"1,712",,338,,,,Mar 2013,Unknown
FirePro M6100,,"2,152",,300,,,2048,Sep 2013,Workstation
FirePro M6100 FireGL V,,"2,874",,339,,,,Mar 2017,Unknown
FirePro M7740,,665,,415,,,1024,Dec 2009,Workstation
FirePro R5000,109.99,"2,647",24.06,625,,,,Mar 2016,Unknown
FirePro RG220,650.18,335,0.52,552,35,9.58,512,Mar 2011,Workstation
FirePro S10000,,"4,768",,502,,,,Oct 2015,Unknown
FirePro S7000,246.54,"4,524",18.35,705,150,30.16,4096,Feb 2014,Workstation
FirePro S7150,1697.99,"3,208",1.89,440,,,,Nov 2016,Unknown
FirePro S9000,,"5,059",,561,,,,May 2015,Unknown
FirePro S9050,,"4,901",,369,,,,Sep 2020,Unknown
FirePro V3800,124.99,321,2.57,179,,,,Jul 2016,Unknown
FirePro V3900,238.44,640,2.69,237,50,12.81,1024,Mar 2012,Workstation
FirePro V4900,149.99,990,6.60,312,75,13.20,1024,May 2012,Workstation
FirePro V5700,188.06,465,2.47,469,,,,Jan 2015,Unknown
FirePro V5800,53.00,"1,176",22.18,272,,,,Feb 2016,Unknown
FirePro V5900,86.00,"1,265",14.71,355,75,16.86,2048,Jul 2011,Workstation
FirePro V7000,,"3,162",,668,,,,Oct 2013,Unknown
FirePro V7800,190.00,"2,028",10.68,307,,,,Mar 2018,Unknown
FirePro V7900,190.00,"2,305",12.13,336,150,15.36,2048,Sep 2011,Workstation
FirePro V8700,157.88,"1,539",9.75,527,,,,Jan 2015,Unknown
FirePro V8800,198.00,"2,281",11.52,445,,,,May 2020,Unknown
FirePro V9800,474.00,"2,727",5.75,655,,,,Jan 2016,Unknown
FirePro W2100,59.00,871,14.77,319,26,33.51,2048,Sep 2014,Workstation
FirePro W4100,184.00,"1,512",8.22,454,50,30.25,2048,Nov 2014,Workstation
FirePro W4170M,,"1,036",,210,,,,Apr 2015,Unknown
Firepro W4190M,,"1,151",,178,,,,Apr 2016,Unknown
FirePro W4300,239.99,"2,820",11.75,649,50,56.41,4096,Feb 2016,Workstation
FirePro W5000,184.00,"2,976",16.17,569,75,39.68,2048,Oct 2012,Workstation
FirePro W5100,125.99,"2,989",23.72,537,75,39.85,4096,Nov 2014,Workstation
FirePro W5130M,,"1,410",,301,,,,Mar 2016,Unknown
Firepro W5170M,,"1,767",,371,,,2048,Dec 2015,"Mobile, Workstation"
FirePro W600,414.99,"1,671",4.03,603,75,22.28,2048,Jan 2013,Workstation
FirePro W6150M,,"2,358",,286,,,,Feb 2021,Unknown
FirePro W7000,278.05,"4,288",15.42,546,150,28.59,4096,Oct 2012,Workstation
FirePro W7000 Adapter,,"4,359",,613,,,,Sep 2013,Unknown
FirePro W7100,389.30,"5,264",13.52,672,150,35.09,8192,Feb 2015,Workstation
FirePro W7170M,,"3,162",,418,,,,Feb 2016,Unknown
FirePro W8000,573.00,"4,149",7.24,489,189,21.95,4096,Feb 2013,Workstation
FirePro W8100,704.00,"7,333",10.42,727,220,33.33,8192,Aug 2014,Workstation
FirePro W9000,845.00,"6,138",7.26,720,274,22.40,6144,Nov 2012,Workstation
FirePro W9100,1729.99,"7,580",4.38,747,275,27.56,16384,Nov 2014,Workstation
FireStream 9170,,647,,493,,,,Nov 2015,Unknown
FireStream 9250,,"1,165",,465,150,7.77,1024,Sep 2013,Workstation
FireStream 9270,,"1,341",,473,160,8.38,2048,Sep 2014,Workstation
FireStream 9370,,"2,528",,763,225,11.24,4096,Feb 2012,Workstation
