cpu_name,num_sockets,cores,price,cpu_mark,cpu_value,thread_mark,thread_value,tdp,power_perf,test_date,socket,category
AMD EPYC 7203P,1,8,,"22,017",,"2,537",,120,183.48,Jul 2025,SP3,Server
AMD EPYC 9565,1,72,10486.00,"135,221",12.90,"3,696",0.35,400,338.05,Jul 2025,SP5,Server
AMD EPYC Embedded 8224P,1,24,,"48,873",,"2,357",,160,305.46,Jul 2025,SP6,"Server, Mobile/Embedded"
AMD EPYC Embedded 9755,1,128,,"163,419",,"3,499",,500,326.84,Jul 2025,Unknown,Mobile/Embedded
AMD Ryzen 7 H 260,1,8,,"30,214",,"3,965",,,,Jul 2025,FP8,Laptop
AMD Ryzen 9 270,1,8,,"31,104",,"3,970",,45,691.19,Jul 2025,FP8,"Desktop, Laptop"
AMD Ryzen Threadripper 9960X 24 Cores,1,24,,"92,632",,"4,536",,350,264.66,Jul 2025,sTR5,Desktop
AMD Ryzen Threadripper PRO 9945WX,1,12,,"56,854",,"4,573",,350,162.44,Jul 2025,sTR5,Server
AMD Ryzen Threadripper PRO 9955WX,1,16,,"69,993",,"4,561",,350,199.98,Jul 2025,sTR5,Server
AMD Ryzen Threadripper PRO 9965WX,1,24,4360.38,"95,346",21.87,"4,555",1.04,350,272.42,Jul 2025,sTR5,Server
AMD Ryzen Threadripper PRO 9975WX,1,32,4099.00,"110,740",27.02,"4,422",1.08,350,316.40,Jul 2025,sTR5,Desktop
AMD Ryzen Threadripper PRO 9985WX,1,64,7999.00,"156,305",19.54,"4,586",0.57,350,446.58,Jul 2025,sTR5,Server
ARM   12 Core 2000 MHz,1,12,,"16,944",,"3,991",,,,Jul 2025,Unknown,Unknown
ARM   4 Core 1804 MHz,1,4,,"3,336",,"1,615",,,,Jul 2025,Unknown,Unknown
ARM Cortex A55 6 Core 1800 MHz,1,6,,984,,311,,,,Jul 2025,Unknown,Unknown
ARM Cortex A72 1 Core 0 MHz,1,1,,400,,561,,,,Jul 2025,Unknown,Unknown
ARM Cortex A76 4 Core 2000 MHz,1,4,,"1,513",,676,,,,Jul 2025,Unknown,Unknown
ARM Kryo 4XX Gold 1 Core 0 MHz,1,1,,769,,956,,,,Jul 2025,Unknown,Unknown
ARM Neoverse V1 1 Core 0 MHz,1,1,,785,,"1,472",,,,Jul 2025,Unknown,Unknown
Fabrikams XY9 @ 3.15 GHz,1,8,,"6,715",,"1,885",,,,Jul 2025,Unknown,Unknown
hi6620oem,1,4,,396,,321,,,,Jul 2025,Unknown,Mobile/Embedded
Intel Core 3 100HL,1,8,306.00,"17,899",58.49,"3,731",12.19,45,397.76,Jul 2025,FCLGA1700,Mobile/Embedded
Intel Core 7 160UL,1,10,426.00,"11,043",25.92,"3,391",7.96,15,736.17,Jul 2025,FCLGA1700,Mobile/Embedded
Intel Core i7 1265UL,1,10,,"18,294",,"3,513",,15,"1,219.61",Jul 2025,FCLGA1700,Mobile/Embedded
Intel Core Ultra 5 245HX,1,14,,"40,059",,"4,530",,55,728.34,Jul 2025,FCBGA2114,Mobile/Embedded
