videocard_name,price,g3d_mark,videocard_value,g2d_mark,tdp,power_perf,vram,test_date,category
SudoMaker Virtual Display Adapter,,"20,290",,982,,,,Jul 2025,Desktop
Radeon Vega 8 Mobile Ryzen 5 3500U,,"2,006",,406,,,,Jul 2025,Mobile
Radeon Ryzen 3 3200U,,961,,348,,,,Jul 2025,Desktop
Radeon Eng Sample: 100 000000149 40_40 30_Y,,"1,801",,598,,,,Jul 2025,Desktop
mv video hook driver2,,"2,312",,404,,,,Jul 2025,Unknown
Moore Threads MTT S30,,580,,529,,,,Jul 2025,Desktop
MirrorOp Virtual Adaptor Ryzen 7 PRO 5850U,,"1,345",,439,,,,Jul 2025,Desktop
MirrorOp Virtual Adaptor Ryzen 5 Pro 7535U,,"2,430",,610,,,,Jul 2025,Desktop
Meta Virtual Monitor Ryzen 5 7600X 6 Core,,"1,854",,570,,,,Jul 2025,Desktop
L40S 1Q,,"2,932",,79,,,,Jul 2025,Desktop
L4 8Q,,"5,707",,94,,,,Jul 2025,Desktop
L4 12Q,,"3,544",,88,,,,Jul 2025,Desktop
GRID P4 2B4,,"2,754",,31,,,,Jul 2025,Desktop
GeForce RTX 5050,269.99,"17,326",64.17,"1,113",,,,Jul 2025,Desktop
DisplayLink USB Device Ryzen 7 Pro 7735U,,"2,678",,527,,,,Jul 2025,Desktop
A10 4Q,,"2,765",,290,,,,Jul 2025,Desktop
Virtual Desktop Monitor,,"19,006",,"1,083",,,,Jun 2025,Unknown
SQExtFramebufferUmode Device,,"1,752",,337,,,,Jun 2025,Desktop
RTX PRO 6000 Blackwell Max Q Workstation Edition,,"32,721",,976,,,,Jun 2025,Desktop
RTX PRO 4000 Blackwell Generation Laptop GPU,,"30,028",,"1,374",,,,Jun 2025,Desktop
Radeon Ryzen 7 PRO 4700G,,"2,148",,711,,,,Jun 2025,Desktop
Radeon RX 9060 XT 8GB,279.99,"20,548",73.39,"1,226",150,136.99,8192,Jun 2025,Desktop
Radeon RX 9060 XT 16GB,379.99,"20,183",53.12,"1,187",160,126.15,16384,Jun 2025,Desktop
Radeon Eng Sample: 100 000000252 50_Y,,"2,411",,478,,,,Jun 2025,Desktop
Radeon Eng Sample: 100 000000151 40_38 33_Y,,"1,367",,554,,,,Jun 2025,Desktop
Radeon 660M Ryzen 5 7533HS,,"2,666",,759,,,,Jun 2025,Mobile
Parsec Virtual Display Adapter Ryzen 5 5600GT,,"2,712",,799,,,,Jun 2025,Desktop
Meta Virtual Monitor Ryzen 5 5625U,,"1,009",,440,,,,Jun 2025,Desktop
L40S 8Q,,"5,094",,103,,,,Jun 2025,Desktop
L40S 12A,,"3,660",,79,,,,Jun 2025,Desktop
Intel 1st Generation Intel HD,,35,,8,,,,Jun 2025,Desktop
GRID P40 1Q,,"7,572",,630,,,,Jun 2025,Desktop
GRID P40 1B,,"3,690",,90,,,,Jun 2025,Desktop
GeForce RTX 5050 Laptop GPU,,"17,017",,930,,,,Jun 2025,Desktop
GeForce RTX 3060,,"17,116",,"1,011",,,,Jun 2025,Desktop
GeForce RTX 3050 Laptop GPU,,"12,144",,689,,,,Jun 2025,Mobile
EIZO Quadro MED XN92,,"17,036",,920,,,,Jun 2025,Desktop
RTX PRO 6000 Blackwell Workstation Edition,,"30,249",,"1,241",,,,May 2025,Desktop
RTX PRO 500 Blackwell Generation Laptop GPU,,"12,992",,948,,,,May 2025,Mobile
RTX PRO 3000 Blackwell Generation Laptop GPU,,"28,506",,"1,044",,,,May 2025,Mobile
Radeon Ryzen Embedded R2312,,837,,367,,,,May 2025,Desktop
Radeon Ryzen 9 4950U Mobile,,"2,594",,575,,,,May 2025,Mobile
Radeon RX 9070 GRE,,"20,506",,895,,,,May 2025,Desktop
Radeon RX 7650 GRE,,"14,808",,"1,133",,,,May 2025,Desktop
Radeon PRO V710 MxGPU,,"13,130",,981,,,,May 2025,Desktop
Mirage Driver,,"1,261",,225,,,,May 2025,Unknown
L40S 12Q,,"4,243",,74,,,,May 2025,Desktop
L4 2A,,"3,063",,64,,,,May 2025,Desktop
Intel Arc Pro 140T GPU,,"6,703",,861,,,,May 2025,Desktop
GRID RTX8000P 1B,,"1,054",,66,,,,May 2025,Desktop
GeForce RTX 5060 Laptop GPU,,"18,852",,876,45,418.92,8192,May 2025,Mobile
Beijing Fantasy Technology Fantasy II M,,259,,125,,,,May 2025,Desktop
RTXA5000 24Q,,"4,803",,78,,,,Apr 2025,Desktop
RTX PRO 2000 Blackwell Generation Laptop GPU,,"16,600",,792,,,,Apr 2025,Mobile
